country,hostname,distance_km,avg_rtt_ms
Italy,garr.it,9627.715486163264,210.93530654907227
Switzerland,ethz.ch,9572.053613779783,203.86929512023926
Sweden,kth.se,8372.447465128625,220.78356742858887
Mexico,unam.mx,13413.779913116023,181.09960556030273
Chile,nic.cl,18512.349854147935,260.91175079345703
South Africa,sanren.ac.za,12654.600576198554,237.5082492828369
Brazil,rnp.br,12045.26414237249,4.33506965637207
Singapore,sg.pool.ntp.org,3240.7794974765484,3.8251876831054688
Japan,kantei.go.jp,12667.451772619728,3.651142120361328
Australia,nla.gov.au,7280.255365084228,135.3196144104004
US,mirror.techrich.hk,12016.535259814447,161.40732765197754
Brazil,gnu.c3sl.ufpr.br,19099.225090242177,294.8193550109863
Morocco,mirror.marwan.ma,11765.55485221043,247.2543239593506
China,mirrors.nju.edu.cn,824.7214980050456,75.9641170501709
China,mirrors.tuna.tsinghua.edu.cn,1719.1782484422786,106.9605827331543
India,mirrors.hopbox.net,4399.380929260397,109.22627449035645
Japan,ftp.jaist.ac.jp,1909.3782936064554,46.40669822692871
Russia,mirror.truenetwork.ru,4276.942410105975,344.47035789489746
South Korea,ftp.kaist.ac.kr,1372.4456207579854,45.34134864807129
Taiwan,mirror.ossplanet.net,135.19814520528558,9.348344802856445
Taiwan,mirror.twds.com.tw,24.848749076504323,3.6656856536865234
Thailand,mirror.cyberbits.asia,2395.346328978431,69.26374435424805
Austria,mirror.easyname.at,9020.57789084458,211.1243724822998
Bulgaria,ftp.sotirov-bg.net,8797.294367793975,223.00658226013184
Bulgaria,sotirov-bg.net,8797.294367793975,221.86951637268066
Finland,nic.funet.fi,7978.591424715935,229.4848918914795
France,mirror.ibcp.fr,9906.14475742524,214.9618625640869
France,mirror.cyberbits.eu,9850.048809489683,208.2162380218506
Germany,mirror.diyarciftci.xyz,9150.689749331377,199.88327026367188
Germany,mirror.dogado.de,9101.843229904845,208.9555263519287
Germany,ftp.fau.de,9285.00945248128,202.99715995788574
Republic of Moldova,mirror.ihost.md,8212.66137204295,235.862398147583
Netherlands,mirror.lyrahosting.com,9471.442180531863,206.66170120239258
Netherlands,ftp.nluug.nl,9477.324840793868,203.30958366394043
Poland,sunsite.icm.edu.pl,8525.258130519742,223.05517196655273
Romania,mirrors.nav.ro,8514.76870642919,226.1164665222168
Russia,mirror.tochlab.net,7702.97755290458,288.67870569229126
UK,ftp.gnu.org.uk,9789.488967261812,235.1583957672119
Australia,mirrors.middlendian.com,7233.374221730758,131.0619831085205
New Caledonia,mirror.lagoon.nc,7135.680952959894,177.45180130004883
Denmark,ftp.dk.debian.org,8543.209796722289,228.05027961730957
US,ftp.us.debian.org,12016.050669769367,177.58045196533203
US,gnu.mirror.constant.com,12557.594667668627,179.90589141845703
Canada,mirror2.evolution-host.com,12044.557513184147,188.24963569641113
